问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,129,20,T:System.Windows.Forms.Label,,,,,"_lblFileName.Text = string.Format(""📎 {0} ({1})"", _message.FileName, FormatFileSize(_message.FileSize));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,129,20,P:System.Windows.Forms.Label.Text,,,,,"_lblFileName.Text = string.Format(""📎 {0} ({1})"", _message.FileName, FormatFileSize(_message.FileSize));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,124,24,T:System.Windows.Forms.Label,,,,,_lblMessage.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,124,24,P:System.Windows.Forms.Control.Visible,,,,,_lblMessage.Visible = false;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,123,24,T:System.Windows.Forms.PictureBox,,,,,_picImage.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,123,24,P:System.Windows.Forms.Control.Visible,,,,,_picImage.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,121,28,T:System.Windows.Forms.PictureBox,,,,,_picImage.Size = imageSize;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,121,28,P:System.Windows.Forms.Control.Size,,,,,_picImage.Size = imageSize;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,117,28,T:System.Windows.Forms.PictureBox,,,,,"_picImage.Size = new Size((int)(imageSize.Width * scale), (int)(imageSize.Height * scale));"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,117,28,P:System.Windows.Forms.Control.Size,,,,,"_picImage.Size = new Size((int)(imageSize.Width * scale), (int)(imageSize.Height * scale));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,113,24,T:System.Drawing.Image,,,,,Size imageSize = _message.ImageContent.Size;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,113,24,P:System.Drawing.Image.Size,,,,,Size imageSize = _message.ImageContent.Size;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,112,24,T:System.Drawing.Image,,,,,_picImage.Image = _message.ImageContent;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,112,24,T:System.Windows.Forms.PictureBox,,,,,_picImage.Image = _message.ImageContent;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,112,24,T:System.Drawing.Image,,,,,_picImage.Image = _message.ImageContent;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,112,24,P:System.Windows.Forms.PictureBox.Image,,,,,_picImage.Image = _message.ImageContent;
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,110,20,T:System.Drawing.Image,,,,,"if (_message.ImageContent != null)                      {                          _picImage.Image = _message.ImageContent;                          Size imageSize = _message.ImageContent.Size;                          float scale = Math.Min(300f / imageSize.Width, 300f / imageSize.Height);                          if (scale < 1)                          {                              _picImage.Size = new Size((int)(imageSize.Width * scale), (int)(imageSize.Height * scale));                          }                          else                          {                              _picImage.Size = imageSize;                          }                          _picImage.Visible = true;                          _lblMessage.Visible = false;                      }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,106,20,T:System.Windows.Forms.Label,,,,,_lblMessage.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,106,20,P:System.Windows.Forms.Control.Visible,,,,,_lblMessage.Visible = true;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,105,20,T:System.Windows.Forms.Label,,,,,_lblMessage.Text = _message.TextContent;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,LazyChat\LazyChat.csproj,File,LazyChat\Controls\MessageBubbleControl.cs,105,20,P:System.Windows.Forms.Label.Text,,,,,_lblMessage.Text = _message.TextContent;
